MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,OddHome,OddDraw,OddAway,Over25,Under25,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeCorners,AwayCorners
2012-01-07,Bahia,Internacional,1.0,1.0,2.9,3.16,2.38,,,,,,,,
2012-01-07,Coritiba,Sport Recife,2.0,3.0,1.66,3.58,5.01,,,,,,,,
2012-01-07,Portuguesa,Santos,0.0,0.0,3.52,3.32,2.02,,,,,,,,
2012-01-07,Flamengo RJ,Atletico GO,3.0,2.0,1.59,3.71,5.44,,,,,,,,
2012-01-07,Gremio,Atletico-MG,0.0,1.0,1.93,3.31,3.8,,,,,,,,
2012-01-07,Palmeiras,Figueirense,3.0,1.0,2.0,3.28,3.64,,,,,,,,
2012-01-09,Figueirense,Fluminense,2.0,2.0,3.05,3.18,2.29,,,,,,,,
2012-01-09,Palmeiras,Gremio,0.0,0.0,2.46,3.16,2.8,,,,,,,,
2012-01-12,Flamengo RJ,Botafogo RJ,2.0,2.0,2.33,3.22,2.9,,,,,,,,
2012-01-12,Santos,Palmeiras,3.0,1.0,1.57,3.89,5.33,,,,,,,,
2012-02-09,Vasco,Portuguesa,2.0,0.0,1.64,3.61,5.18,,,,,,,,
2012-02-09,Bahia,Sao Paulo,1.0,0.0,2.85,3.17,2.4,,,,,,,,
2012-02-09,Corinthians,Atletico-MG,1.0,0.0,2.24,3.22,3.08,,,,,,,,
2012-02-09,Internacional,Flamengo RJ,4.0,1.0,1.65,3.61,5.07,,,,,,,,
2012-02-09,Sport Recife,Santos,2.0,1.0,2.43,3.15,2.82,,,,,,,,
2012-02-09,Botafogo RJ,Coritiba,2.0,0.0,1.88,3.4,3.94,,,,,,,,
2012-02-09,Cruzeiro,Nautico,3.0,0.0,1.56,3.8,5.67,,,,,,,,
2012-02-09,Ponte Preta,Atletico GO,3.0,1.0,2.0,3.29,3.59,,,,,,,,
2012-02-12,Atletico GO,Bahia,0.0,1.0,3.01,3.18,2.28,,,,,,,,
2012-02-12,Atletico-MG,Cruzeiro,3.0,2.0,1.68,3.7,4.6,,,,,,,,
2012-02-12,Coritiba,Figueirense,3.0,0.0,1.36,4.62,7.8,,,,,,,,
2012-02-12,Fluminense,Vasco,1.0,2.0,2.27,3.26,2.99,,,,,,,,
2012-02-12,Gremio,Internacional,0.0,0.0,1.64,3.68,4.97,,,,,,,,
2012-02-12,Nautico,Sport Recife,1.0,0.0,2.49,3.3,2.65,,,,,,,,
2012-02-12,Portuguesa,Ponte Preta,0.0,0.0,1.77,3.37,4.56,,,,,,,,
2012-02-12,Sao Paulo,Corinthians,3.0,1.0,3.07,3.23,2.23,,,,,,,,
2012-03-11,Cruzeiro,Santos,0.0,4.0,2.35,3.26,2.87,,,,,,,,
2012-03-11,Gremio,Ponte Preta,1.0,0.0,1.42,4.22,7.28,,,,,,,,
2012-03-11,Flamengo RJ,Figueirense,1.0,0.0,1.56,3.82,5.6,,,,,,,,
2012-04-08,Atletico GO,Botafogo RJ,1.0,2.0,2.76,3.25,2.43,,,,,,,,
2012-04-08,Palmeiras,Internacional,0.0,1.0,2.26,3.21,3.06,,,,,,,,
2012-04-11,Atletico GO,Corinthians,0.0,2.0,4.4,3.56,1.74,,,,,,,,
2012-04-11,Palmeiras,Botafogo RJ,2.0,2.0,1.92,3.39,3.78,,,,,,,,
