MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,OddHome,OddDraw,OddAway,Over25,Under25,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeCorners,AwayCorners
2000-08-18,Sparta,Roda JC,2.0,2.0,2.35,3.2,2.55,,,,,,,,
2000-08-19,Graafschap,PSV Eindhoven,2.0,0.0,5.0,3.5,1.5,,,,,,,,
2000-08-19,Feyenoord,AZ Alkmaar,2.0,0.0,1.33,4.35,5.6,,,,,,,,
2000-08-19,NAC Breda,Waalwijk,0.0,1.0,2.2,3.3,2.6,,,,,,,,
2000-08-20,Groningen,Willem II,1.0,1.0,2.3,3.3,2.6,,,,,,,,
2000-08-20,Roosendaal,Nijmegen,2.0,3.0,2.2,3.45,2.6,,,,,,,,
2000-08-20,Utrecht,Heerenveen,2.0,0.0,2.5,3.3,2.35,,,,,,,,
2000-08-20,Vitesse,Twente,3.0,1.0,1.7,3.15,4.55,,,,,,,,
2000-08-22,Ajax,For Sittard,5.0,0.0,1.25,4.05,7.0,,,,,,,,
2000-08-23,Groningen,Nijmegen,4.0,4.0,1.9,3.2,3.5,,,,,,,,
2000-08-26,AZ Alkmaar,Roosendaal,3.0,0.0,1.43,3.8,5.2,,,,,,,,
2000-08-26,Graafschap,Roda JC,1.0,3.0,2.5,3.4,2.3,,,,,,,,
2000-08-26,For Sittard,Heerenveen,0.0,2.0,3.0,3.3,2.05,,,,,,,,
2000-08-26,NAC Breda,Groningen,5.0,1.0,2.0,3.3,3.0,,,,,,,,
2000-08-26,Willem II,Waalwijk,2.0,0.0,1.75,3.6,3.65,,,,,,,,
2000-08-27,Nijmegen,Vitesse,4.0,1.0,3.0,3.0,2.1,,,,,,,,
2000-08-27,Sparta,Ajax,3.0,0.0,3.8,3.5,1.7,,,,,,,,
2000-08-27,Twente,Feyenoord,1.0,2.0,2.45,3.05,2.5,,,,,,,,
2000-08-27,Utrecht,PSV Eindhoven,1.0,3.0,3.65,3.3,1.8,,,,,,,,
2000-09-03,Waalwijk,Roosendaal,2.0,1.0,1.45,3.65,5.6,,,,,,,,
2000-09-05,PSV Eindhoven,Willem II,2.0,2.0,1.33,3.9,7.2,,,,,,,,
2000-09-06,Ajax,Nijmegen,0.0,0.0,1.25,4.4,7.0,,,,,,,,
2000-09-06,Groningen,Graafschap,1.0,0.0,2.2,3.3,2.7,,,,,,,,
2000-09-06,NAC Breda,Roda JC,1.0,1.0,2.35,3.2,2.55,,,,,,,,
2000-09-06,Waalwijk,AZ Alkmaar,3.0,0.0,2.5,3.3,2.25,,,,,,,,
2000-09-06,Twente,Heerenveen,2.0,2.0,2.15,3.2,2.65,,,,,,,,
2000-09-06,Vitesse,Sparta,5.0,1.0,1.5,3.5,5.4,,,,,,,,
2000-09-08,For Sittard,PSV Eindhoven,0.0,3.0,4.3,3.35,1.6,,,,,,,,
2000-09-09,Ajax,Groningen,3.0,1.0,1.21,4.7,8.4,,,,,,,,
2000-09-09,Graafschap,AZ Alkmaar,4.0,2.0,2.3,3.3,2.5,,,,,,,,
2000-09-09,Feyenoord,Waalwijk,3.0,1.0,1.33,4.25,6.4,,,,,,,,
2000-09-09,Heerenveen,NAC Breda,2.0,1.0,1.4,3.7,5.7,,,,,,,,
2000-09-09,Roda JC,Twente,2.0,2.0,2.0,3.4,2.9,,,,,,,,
2000-09-09,Willem II,Vitesse,2.0,2.0,2.1,3.4,2.7,,,,,,,,
2000-09-10,Nijmegen,Utrecht,1.0,1.0,2.0,3.4,3.0,,,,,,,,
2000-09-10,Sparta,Roosendaal,3.0,5.0,1.43,3.9,5.4,,,,,,,,
2000-09-13,NAC Breda,Roosendaal,2.0,1.0,,,,,,,,,,,
2000-09-16,NAC Breda,Graafschap,3.0,0.0,2.0,3.45,3.0,,,,,,,,
2000-09-16,PSV Eindhoven,Sparta,2.0,1.0,1.25,4.5,8.1,,,,,,,,
2000-09-17,AZ Alkmaar,Ajax,3.0,2.0,3.2,3.3,1.95,,,,,,,,
2000-09-17,Nijmegen,For Sittard,1.0,1.0,1.66,3.4,4.0,,,,,,,,
2000-09-17,Roosendaal,Groningen,0.0,2.0,2.2,3.15,2.8,,,,,,,,
2000-09-17,Utrecht,Twente,1.0,2.0,2.15,3.3,2.7,,,,,,,,
2000-09-17,Vitesse,Waalwijk,1.0,0.0,1.47,3.65,5.2,,,,,,,,
2000-09-22,Ajax,Roosendaal,2.0,0.0,1.13,6.5,11.0,,,,,,,,
2000-09-23,For Sittard,Vitesse,1.0,4.0,3.25,3.55,1.9,,,,,,,,
2000-09-24,Groningen,Utrecht,1.0,3.0,2.15,3.3,2.7,,,,,,,,
2000-09-24,NAC Breda,Willem II,2.0,0.0,2.3,3.25,2.55,,,,,,,,
2000-09-24,Waalwijk,Nijmegen,0.0,0.0,2.0,3.4,3.1,,,,,,,,
2000-09-24,Twente,Graafschap,3.0,1.0,1.57,3.6,4.6,,,,,,,,
2000-10-01,Graafschap,Feyenoord,2.0,3.0,3.8,3.3,1.75,,,,,,,,
2000-10-01,Groningen,PSV Eindhoven,0.0,1.0,5.0,3.8,1.45,,,,,,,,
2000-10-01,Waalwijk,Twente,1.0,1.0,2.25,3.2,2.6,,,,,,,,
2000-10-01,Roda JC,AZ Alkmaar,4.0,2.0,1.7,3.4,4.0,,,,,,,,
2000-10-01,Sparta,Willem II,1.0,2.0,2.3,3.2,2.55,,,,,,,,
2000-10-01,Vitesse,Utrecht,2.0,1.0,1.3,4.8,6.0,,,,,,,,
2000-10-02,Heerenveen,Ajax,2.0,2.0,2.6,3.2,2.3,,,,,,,,
2000-10-13,AZ Alkmaar,NAC Breda,3.0,1.0,1.85,3.4,3.3,,,,,,,,
2000-10-14,Heerenveen,Waalwijk,1.0,1.0,1.6,3.55,4.6,,,,,,,,
2000-10-14,PSV Eindhoven,Nijmegen,0.0,0.0,1.25,5.3,7.6,,,,,,,,
2000-10-14,Roda JC,Groningen,2.0,0.0,1.55,3.6,4.9,,,,,,,,
2000-10-14,Twente,For Sittard,1.0,1.0,1.35,4.1,6.2,,,,,,,,
2000-10-14,Willem II,Utrecht,6.0,2.0,1.75,3.3,4.0,,,,,,,,
2000-10-15,Roosendaal,Graafschap,2.0,4.0,2.3,3.35,2.6,,,,,,,,
2000-10-15,Sparta,Feyenoord,1.0,4.0,5.5,3.4,1.55,,,,,,,,
2000-10-15,Vitesse,Ajax,3.0,2.0,2.2,3.25,2.7,,,,,,,,
2000-10-20,Ajax,Roda JC,4.0,2.0,1.4,3.9,6.1,,,,,,,,
2000-10-21,Graafschap,Willem II,1.0,1.0,2.4,3.1,2.6,,,,,,,,
2000-10-21,Feyenoord,Heerenveen,2.0,0.0,1.45,3.65,5.3,,,,,,,,
2000-10-21,Twente,Sparta,3.0,1.0,1.4,4.1,6.3,,,,,,,,
2000-10-22,AZ Alkmaar,Vitesse,0.0,2.0,2.75,3.15,2.2,,,,,,,,
2000-10-22,Groningen,For Sittard,4.0,0.0,1.85,3.25,3.6,,,,,,,,
2000-10-22,Utrecht,Roosendaal,5.0,3.0,1.6,3.6,4.5,,,,,,,,
2000-10-27,AZ Alkmaar,Twente,5.0,0.0,2.3,3.15,2.6,,,,,,,,
2000-10-27,For Sittard,NAC Breda,1.0,2.0,2.75,3.0,2.3,,,,,,,,
2000-10-28,Heerenveen,Graafschap,1.0,0.0,1.65,3.2,4.65,,,,,,,,
2000-10-29,Nijmegen,Willem II,3.0,0.0,2.3,3.3,2.55,,,,,,,,
2000-10-29,PSV Eindhoven,Ajax,1.0,1.0,1.9,3.3,3.2,,,,,,,,
2000-10-29,Roda JC,Waalwijk,0.0,1.0,1.65,3.3,4.5,,,,,,,,
2000-10-29,Sparta,Groningen,2.0,0.0,2.2,2.8,3.2,,,,,,,,
2000-10-29,Utrecht,Feyenoord,1.0,1.0,4.8,3.2,1.65,,,,,,,,
2000-11-01,Heerenveen,Sparta,1.0,1.0,1.45,3.6,6.0,,,,,,,,
