MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,OddHome,OddDraw,OddAway,Over25,Under25,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeCorners,AwayCorners
2000-07-28,Marseille,Troyes,3.0,1.0,1.65,3.3,4.3,,,,,,,,
2000-07-28,Paris SG,Strasbourg,3.0,1.0,1.6,3.4,4.6,,,,,,,,
2000-07-29,Auxerre,Sedan,0.0,1.0,1.7,3.3,3.9,,,,,,,,
2000-07-29,Bordeaux,Metz,1.0,1.0,1.65,3.3,4.3,,,,,,,,
2000-07-29,Guingamp,St Etienne,2.0,2.0,2.25,3.0,2.75,,,,,,,,
2000-07-29,Lille,Monaco,1.0,1.0,2.75,3.0,2.25,,,,,,,,
2000-07-29,Lyon,Rennes,2.0,2.0,1.6,3.4,4.6,,,,,,,,
2000-07-29,Nantes,Lens,0.0,2.0,2.15,3.0,3.0,,,,,,,,
2000-07-29,Toulouse,Bastia,0.0,1.0,2.0,3.0,3.5,,,,,,,,
2000-08-03,Sedan,Lyon,1.0,1.0,2.1,3.1,3.2,,,,,,,,
2000-08-04,Monaco,Nantes,2.0,5.0,1.4,4.0,6.0,,,,,,,,
2000-08-04,St Etienne,Marseille,3.0,0.0,2.35,3.0,2.75,,,,,,,,
2000-08-05,Bastia,Bordeaux,2.0,0.0,1.8,3.1,4.0,,,,,,,,
2000-08-05,Lens,Guingamp,3.0,2.0,1.4,3.2,8.0,,,,,,,,
2000-08-05,Metz,Auxerre,1.0,2.0,1.8,3.0,4.2,,,,,,,,
2000-08-05,Rennes,Paris SG,1.0,1.0,2.45,3.05,2.6,,,,,,,,
2000-08-05,Strasbourg,Lille,0.0,4.0,1.7,3.1,4.4,,,,,,,,
2000-08-05,Troyes,Toulouse,1.0,1.0,2.15,3.2,2.9,,,,,,,,
2000-08-12,Auxerre,Bastia,1.0,0.0,1.75,3.0,3.9,,,,,,,,
2000-08-12,Bordeaux,Troyes,2.0,2.0,1.38,4.0,7.0,,,,,,,,
2000-08-12,Guingamp,Nantes,0.0,1.0,2.4,3.0,2.75,,,,,,,,
2000-08-12,Lille,Rennes,1.0,0.0,2.0,3.0,3.4,,,,,,,,
2000-08-12,Lyon,Metz,0.0,0.0,1.6,3.4,5.0,,,,,,,,
2000-08-12,Strasbourg,Monaco,1.0,3.0,2.85,2.9,2.15,,,,,,,,
2000-08-12,Toulouse,St Etienne,1.0,1.0,2.5,3.0,2.6,,,,,,,,
2000-08-13,Marseille,Lens,0.0,0.0,1.71,3.5,4.0,,,,,,,,
2000-08-13,Paris SG,Sedan,2.0,1.0,1.41,3.1,9.0,,,,,,,,
2000-08-18,Bastia,Lyon,2.0,0.0,1.9,2.9,3.3,,,,,,,,
2000-08-19,Lens,Toulouse,2.0,1.0,1.5,3.4,6.0,,,,,,,,
2000-08-19,Metz,Paris SG,1.0,0.0,3.0,2.8,2.2,,,,,,,,
2000-08-19,Nantes,Marseille,3.0,2.0,2.15,3.1,3.0,,,,,,,,
2000-08-19,Rennes,Strasbourg,3.0,0.0,1.66,3.15,4.7,,,,,,,,
2000-08-19,Sedan,Lille,1.0,0.0,1.3,3.35,3.3,,,,,,,,
2000-08-19,St Etienne,Bordeaux,1.0,0.0,2.3,3.1,2.6,,,,,,,,
2000-08-19,Troyes,Auxerre,1.0,0.0,2.35,2.9,2.7,,,,,,,,
2000-08-20,Monaco,Guingamp,1.0,0.0,1.3,4.3,7.0,,,,,,,,
2000-08-26,Bordeaux,Lens,1.0,1.0,1.9,3.25,3.45,,,,,,,,
2000-08-26,Lille,Metz,2.0,1.0,1.95,3.2,3.3,,,,,,,,
2000-08-26,Lyon,Troyes,1.0,0.0,1.55,3.4,5.0,,,,,,,,
2000-08-26,Marseille,Guingamp,3.0,1.0,1.4,3.8,6.7,,,,,,,,
2000-08-26,Rennes,Monaco,1.0,1.0,2.4,3.05,2.65,,,,,,,,
2000-08-26,Strasbourg,Sedan,3.0,2.0,2.45,3.1,2.6,,,,,,,,
2000-08-26,Toulouse,Nantes,1.0,1.0,2.45,3.1,2.6,,,,,,,,
2000-08-27,Auxerre,St Etienne,4.0,3.0,1.9,3.1,3.8,,,,,,,,
2000-08-27,Paris SG,Bastia,3.0,1.0,1.45,3.65,5.9,,,,,,,,
2000-09-05,Monaco,Marseille,0.0,2.0,1.8,3.1,4.0,,,,,,,,
2000-09-06,Bastia,Lille,1.0,0.0,1.66,3.2,4.4,,,,,,,,
2000-09-06,Guingamp,Toulouse,2.0,1.0,2.15,3.0,3.1,,,,,,,,
2000-09-06,Lens,Auxerre,1.0,0.0,1.75,3.2,4.1,,,,,,,,
2000-09-06,Metz,Strasbourg,1.0,0.0,1.71,3.0,4.9,,,,,,,,
2000-09-06,Nantes,Bordeaux,0.0,5.0,1.95,3.2,3.4,,,,,,,,
2000-09-06,St Etienne,Lyon,2.0,2.0,2.0,3.0,3.45,,,,,,,,
2000-09-06,Troyes,Paris SG,5.0,3.0,3.1,3.0,2.15,,,,,,,,
2000-09-09,Auxerre,Nantes,2.0,2.0,1.85,3.1,3.5,,,,,,,,
2000-09-09,Bordeaux,Guingamp,0.0,2.0,1.5,3.3,6.0,,,,,,,,
2000-09-09,Lille,Troyes,1.0,2.0,1.66,3.2,4.5,,,,,,,,
2000-09-09,Lyon,Lens,3.0,0.0,2.0,3.15,3.1,,,,,,,,
2000-09-09,Paris SG,St Etienne,5.0,1.0,1.47,3.3,6.4,,,,,,,,
2000-09-09,Rennes,Metz,0.0,1.0,1.8,3.15,3.75,,,,,,,,
2000-09-09,Sedan,Monaco,1.0,0.0,2.5,3.1,2.35,,,,,,,,
2000-09-09,Strasbourg,Bastia,1.0,4.0,2.2,3.1,2.75,,,,,,,,
2000-09-10,Toulouse,Marseille,2.0,0.0,2.65,3.0,2.3,,,,,,,,
2000-09-16,Bastia,Rennes,0.0,2.0,1.5,3.55,5.1,,,,,,,,
2000-09-16,Guingamp,Auxerre,1.0,0.0,2.35,3.15,2.65,,,,,,,,
2000-09-16,Lens,Paris SG,1.0,1.0,2.15,3.15,3.0,,,,,,,,
2000-09-16,Marseille,Bordeaux,0.0,1.0,1.85,3.3,3.5,,,,,,,,
2000-09-16,Metz,Sedan,1.0,0.0,1.8,3.3,3.5,,,,,,,,
2000-09-16,Monaco,Toulouse,3.0,0.0,1.35,3.85,6.5,,,,,,,,
2000-09-16,Troyes,Strasbourg,0.0,1.0,1.7,3.1,4.5,,,,,,,,
2000-09-17,Nantes,Lyon,0.0,1.0,2.05,3.2,3.1,,,,,,,,
2000-09-17,St Etienne,Lille,1.0,1.0,1.7,3.4,4.0,,,,,,,,
2000-09-23,Auxerre,Marseille,0.0,1.0,2.05,3.35,3.0,,,,,,,,
2000-09-23,Bordeaux,Toulouse,2.0,1.0,1.5,3.5,6.0,,,,,,,,
2000-09-23,Lyon,Guingamp,0.0,1.0,1.5,3.6,5.5,,,,,,,,
2000-09-23,Metz,Monaco,1.0,3.0,2.1,3.3,2.95,,,,,,,,
2000-09-23,Paris SG,Nantes,2.0,1.0,1.5,3.65,5.2,,,,,,,,
2000-09-23,Rennes,Troyes,0.0,2.0,1.85,3.5,3.4,,,,,,,,
2000-09-23,Sedan,Bastia,3.0,3.0,2.0,3.3,3.2,,,,,,,,
2000-09-23,Strasbourg,St Etienne,3.0,2.0,2.1,3.3,2.95,,,,,,,,
2000-09-24,Lille,Lens,2.0,1.0,2.3,3.35,2.6,,,,,,,,
2000-09-30,Bastia,Metz,1.0,0.0,1.6,3.5,4.4,,,,,,,,
2000-09-30,Guingamp,Paris SG,1.0,1.0,2.55,3.25,2.25,,,,,,,,
2000-09-30,Lens,Strasbourg,0.0,0.0,1.45,3.8,5.8,,,,,,,,
2000-09-30,Monaco,Bordeaux,2.0,2.0,1.8,3.25,3.75,,,,,,,,
2000-09-30,St Etienne,Rennes,0.0,2.0,1.8,3.35,3.6,,,,,,,,
2000-09-30,Toulouse,Auxerre,0.0,1.0,2.2,3.15,2.7,,,,,,,,
2000-09-30,Troyes,Sedan,1.0,1.0,1.85,3.3,3.55,,,,,,,,
2000-10-01,Marseille,Lyon,1.0,1.0,1.85,3.2,3.6,,,,,,,,
2000-10-01,Nantes,Lille,0.0,0.0,1.8,3.4,3.6,,,,,,,,
2000-10-10,Sedan,Rennes,2.0,1.0,,,,,,,,,,,
2000-10-13,Bastia,Monaco,0.0,2.0,2.0,3.2,3.3,,,,,,,,
2000-10-13,Paris SG,Marseille,2.0,0.0,1.55,3.3,5.2,,,,,,,,
2000-10-14,Lille,Guingamp,1.0,1.0,1.85,3.25,3.7,,,,,,,,
2000-10-14,Metz,Troyes,2.0,2.0,1.8,3.2,4.0,,,,,,,,
2000-10-14,Rennes,Lens,1.0,0.0,2.3,3.1,2.7,,,,,,,,
2000-10-14,Sedan,St Etienne,2.0,1.0,1.85,3.15,3.9,,,,,,,,
2000-10-14,Strasbourg,Nantes,0.0,5.0,2.1,3.1,3.1,,,,,,,,
2000-10-15,Auxerre,Bordeaux,0.0,2.0,2.05,3.2,3.1,,,,,,,,
2000-10-21,Bordeaux,Lyon,1.0,1.0,1.9,2.9,3.5,,,,,,,,
2000-10-21,Guingamp,Strasbourg,2.0,1.0,1.75,3.2,3.8,,,,,,,,
2000-10-21,Lens,Sedan,1.0,1.0,1.8,3.0,3.8,,,,,,,,
2000-10-21,Monaco,Auxerre,1.0,1.0,1.61,3.5,4.6,,,,,,,,
2000-10-21,Nantes,Rennes,1.0,0.0,1.9,2.9,3.5,,,,,,,,
2000-10-21,St Etienne,Metz,2.0,0.0,2.05,2.8,3.2,,,,,,,,
2000-10-21,Toulouse,Paris SG,2.0,3.0,3.6,3.0,1.95,,,,,,,,
2000-10-21,Troyes,Bastia,0.0,0.0,2.25,2.8,3.0,,,,,,,,
2000-10-22,Marseille,Lille,0.0,1.0,1.65,3.2,4.5,,,,,,,,
2000-10-28,Strasbourg,Marseille,1.0,1.0,2.4,3.1,2.65,,,,,,,,
2000-10-29,Bastia,St Etienne,0.0,0.0,1.6,3.25,5.25,,,,,,,,
2000-10-29,Lille,Toulouse,1.0,0.0,1.57,3.2,5.6,,,,,,,,
2000-10-29,Lyon,Auxerre,2.0,2.0,1.8,3.15,4.0,,,,,,,,
2000-10-29,Metz,Lens,2.0,1.0,2.1,3.0,3.2,,,,,,,,
2000-10-29,Paris SG,Bordeaux,1.0,2.0,1.6,3.25,5.1,,,,,,,,
2000-10-29,Rennes,Guingamp,1.0,2.0,2.05,3.0,3.35,,,,,,,,
2000-10-29,Sedan,Nantes,2.0,0.0,2.0,3.1,3.35,,,,,,,,
2000-10-29,Troyes,Monaco,1.0,0.0,2.7,2.95,2.45,,,,,,,,
2000-11-03,Monaco,Lyon,0.0,2.0,1.75,3.25,4.2,,,,,,,,
2000-11-04,Auxerre,Paris SG,1.0,0.0,2.8,3.25,2.2,,,,,,,,
2000-11-04,Bordeaux,Lille,1.0,0.0,1.8,3.35,3.8,,,,,,,,
2000-11-04,Guingamp,Sedan,0.0,3.0,2.05,3.05,3.3,,,,,,,,
2000-11-04,Lens,Bastia,4.0,0.0,2.1,3.05,3.25,,,,,,,,
2000-11-04,Marseille,Rennes,0.0,1.0,,,,,,,,,,,
2000-11-04,Nantes,Metz,2.0,0.0,1.8,3.2,4.0,,,,,,,,
2000-11-04,St Etienne,Troyes,4.0,1.0,2.1,3.05,3.15,,,,,,,,
2000-11-04,Toulouse,Strasbourg,0.0,0.0,2.25,2.95,3.0,,,,,,,,
2000-11-10,St Etienne,Monaco,1.0,0.0,2.5,2.8,2.7,,,,,,,,
2000-11-11,Lille,Auxerre,1.0,1.0,1.95,2.8,3.8,,,,,,,,
2000-11-11,Metz,Guingamp,1.0,1.0,2.0,3.1,3.35,,,,,,,,
2000-11-11,Paris SG,Lyon,1.0,1.0,1.67,3.1,4.8,,,,,,,,
2000-11-11,Rennes,Toulouse,1.0,1.0,1.6,3.4,4.8,,,,,,,,
2000-11-11,Sedan,Marseille,2.0,0.0,1.8,3.2,3.8,,,,,,,,
2000-11-11,Troyes,Lens,1.0,0.0,2.05,2.8,3.6,,,,,,,,
2000-11-12,Strasbourg,Bordeaux,0.0,2.0,2.8,3.0,2.3,,,,,,,,
2000-11-17,Marseille,Metz,4.0,1.0,1.85,3.1,4.0,,,,,,,,
2000-11-18,Guingamp,Bastia,1.0,0.0,2.0,2.95,3.6,,,,,,,,
2000-11-18,Lens,St Etienne,0.0,0.0,1.85,3.1,4.0,,,,,,,,
2000-11-18,Lyon,Lille,0.0,1.0,1.75,3.1,4.2,,,,,,,,
2000-11-18,Monaco,Paris SG,2.0,0.0,2.2,3.1,2.8,,,,,,,,
2000-11-18,Nantes,Troyes,4.0,0.0,1.85,3.0,3.85,,,,,,,,
2000-11-18,Toulouse,Sedan,2.0,0.0,2.8,3.0,2.3,,,,,,,,
