MatchDate,HomeTeam,AwayTeam,FTHome,FTAway,OddHome,OddDraw,OddAway,Over25,Under25,HomeShots,AwayShots,HomeTarget,AwayTarget,HomeCorners,AwayCorners
2000-08-18,Beira Mar,Boavista,2.0,4.0,2.65,3.15,2.2,,,,,,,,
2000-08-19,Porto,Benfica,2.0,0.0,1.66,3.6,4.1,,,,,,,,
2000-08-19,Sp Braga,Guimaraes,1.0,0.0,2.15,3.4,2.7,,,,,,,,
2000-08-20,Alverca,Maritimo,0.0,0.0,2.0,3.0,3.4,,,,,,,,
2000-08-20,Aves,Belenenses,0.0,1.0,2.0,3.15,3.2,,,,,,,,
2000-08-20,Gil Vicente,Campomaiorense,1.0,1.0,1.4,3.65,5.6,,,,,,,,
2000-08-20,Salgueiros,Pacos Ferreira,1.0,0.0,1.9,3.2,3.3,,,,,,,,
2000-08-20,Sp Lisbon,Farense,1.0,0.0,1.25,4.65,9.5,,,,,,,,
2000-08-20,Leiria,Est Amadora,2.0,0.0,2.05,3.15,2.85,,,,,,,,
2000-08-25,Est Amadora,Sp Braga,0.0,1.0,1.9,3.05,3.6,,,,,,,,
2000-08-26,Campomaiorense,Salgueiros,2.0,3.0,2.05,3.15,2.9,,,,,,,,
2000-08-26,Guimaraes,Sp Lisbon,1.0,4.0,3.55,3.15,1.8,,,,,,,,
2000-08-27,Belenenses,Porto,2.0,0.0,4.4,3.05,1.66,,,,,,,,
2000-08-27,Pacos Ferreira,Aves,2.0,0.0,1.8,3.15,3.55,,,,,,,,
2000-08-27,Benfica,Beira Mar,4.0,1.0,1.2,4.3,10.0,,,,,,,,
2000-08-27,Farense,Alverca,2.0,0.0,2.0,3.15,3.2,,,,,,,,
2000-08-28,Boavista,Leiria,4.0,0.0,1.45,3.75,5.9,,,,,,,,
2000-09-02,Maritimo,Gil Vicente,1.0,0.0,1.9,3.1,3.5,,,,,,,,
2000-09-08,Sp Braga,Sp Lisbon,3.0,2.0,3.25,3.3,1.9,,,,,,,,
2000-09-09,Porto,Pacos Ferreira,2.0,1.0,1.16,5.15,12.0,,,,,,,,
2000-09-09,Leiria,Benfica,1.0,1.0,3.4,3.1,1.95,,,,,,,,
2000-09-10,Aves,Campomaiorense,2.0,2.0,2.1,3.2,2.9,,,,,,,,
2000-09-10,Beira Mar,Belenenses,2.0,2.0,2.7,3.0,2.3,,,,,,,,
2000-09-10,Est Amadora,Boavista,0.0,0.0,2.6,3.15,2.3,,,,,,,,
2000-09-10,Gil Vicente,Farense,0.0,0.0,1.8,3.2,3.8,,,,,,,,
2000-09-10,Salgueiros,Maritimo,1.0,0.0,2.0,3.15,3.15,,,,,,,,
2000-09-11,Alverca,Guimaraes,1.0,3.0,2.15,3.1,2.85,,,,,,,,
2000-09-15,Guimaraes,Gil Vicente,3.0,1.0,1.75,3.25,4.0,,,,,,,,
2000-09-16,Sp Lisbon,Alverca,1.0,1.0,1.2,4.8,9.0,,,,,,,,
2000-09-17,Belenenses,Leiria,1.0,1.0,1.7,3.25,4.25,,,,,,,,
2000-09-17,Maritimo,Aves,2.0,1.0,1.43,3.55,6.0,,,,,,,,
2000-09-17,Pacos Ferreira,Beira Mar,3.0,2.0,1.9,3.15,3.35,,,,,,,,
2000-09-17,Farense,Salgueiros,2.0,1.0,2.05,3.3,3.0,,,,,,,,
2000-09-18,Boavista,Sp Braga,1.0,2.0,1.66,3.35,4.5,,,,,,,,
2000-09-18,Campomaiorense,Porto,0.0,5.0,4.1,3.3,1.75,,,,,,,,
2000-09-18,Benfica,Est Amadora,2.0,1.0,1.25,4.05,9.0,,,,,,,,
2000-09-22,Salgueiros,Guimaraes,2.0,1.0,1.9,3.3,3.4,,,,,,,,
