fecha,team1,team2,league,market,label,prob,hit,mia,cuota
2026-06-26,Ecuador,Alemania,mundial 2026,1X2,"Gana Ecuador",0.2267,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,1X2,"Empate",0.2765,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,1X2,"Gana Alemania",0.4967,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,1X2,"Ecuador o empate (1X)",0.5033,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,1X2,"Alemania o empate (X2)",0.7733,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,1X2,"Sin empate (12)",0.7235,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Goles,"Más de 4.5 goles",0.0892,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Goles,"Más de 3.5 goles",0.2102,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Goles,"Más de 2.5 goles",0.4163,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Goles,"Más de 1.5 goles",0.6848,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,BTTS,"Ambos anotan",0.4577,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,BTTS,"No ambos anotan",0.5423,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners totales +12.5",0.1946,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners totales +11.5",0.2865,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners totales +10.5",0.3985,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners totales +9.5",0.5234,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners totales +8.5",0.6503,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners totales +7.5",0.7662,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners totales +6.5",0.8603,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners Ecuador +8.5",0.1198,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners Ecuador +7.5",0.2109,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners Ecuador +6.5",0.3395,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners Ecuador +5.5",0.4985,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners Ecuador +4.5",0.6671,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners Ecuador +3.5",0.8159,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners Alemania +6.5",0.1315,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners Alemania +5.5",0.2454,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners Alemania +4.5",0.4084,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners Alemania +3.5",0.6029,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Córners,"Córners Alemania +2.5",0.7885,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"Tiros a puerta totales +11.5",0.1584,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"Tiros a puerta totales +10.5",0.2458,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"Tiros a puerta totales +9.5",0.3577,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"Tiros a puerta totales +8.5",0.4881,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"Tiros a puerta totales +7.5",0.6249,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"Tiros a puerta totales +6.5",0.7525,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"Tiros a puerta totales +5.5",0.8565,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"T. a puerta Ecuador +6.5",0.1281,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"T. a puerta Ecuador +5.5",0.2405,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"T. a puerta Ecuador +4.5",0.4025,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"T. a puerta Ecuador +3.5",0.5973,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"T. a puerta Ecuador +2.5",0.7845,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"T. a puerta Alemania +6.5",0.1590,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"T. a puerta Alemania +5.5",0.2837,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"T. a puerta Alemania +4.5",0.4529,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"T. a puerta Alemania +3.5",0.6443,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"T. a puerta Alemania +2.5",0.8174,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros a puerta,"Ecuador tira más a puerta",0.4848,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros totales +23.5",0.2895,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros totales +22.5",0.3656,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros totales +21.5",0.4487,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros totales +20.5",0.5354,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros totales +19.5",0.6218,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros totales +18.5",0.7038,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros totales +17.5",0.7777,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros totales +16.5",0.8408,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Ecuador +13.5",0.1847,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Ecuador +12.5",0.2704,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Ecuador +11.5",0.3753,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Ecuador +10.5",0.4939,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Ecuador +9.5",0.6168,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Ecuador +8.5",0.7324,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Ecuador +7.5",0.8305,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Alemania +12.5",0.2533,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Alemania +11.5",0.3559,0,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Alemania +10.5",0.4736,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Alemania +9.5",0.5975,1,0,
2026-06-26,Ecuador,Alemania,mundial 2026,Tiros,"Tiros Alemania +8.5",0.7160,1,0,
